month,target,acquirer,sector_raw,deal_value_usdm,deal_type,stake_pct,ey_bucket,source_report,report_year
NA,Classic Legends,Mahindra Ltd and undisclosed investors,Automobiles,105,M&A - Domestic,NA,Industrials and Auto,Grant Thornton Dealtracker 2023,2023
NA,Kesoram Industries Ltd,Ultratech Cement Ltd,Manufacturing,646,M&A - Domestic,100%,Industrials and Auto,Grant Thornton Dealtracker 2023,2023
NA,Mahindra Electric Automobile,Temasek,Electric Vehicles,146,PE Investment,NA,Industrials and Auto,Grant Thornton Dealtracker 2023,2023
NA,Ola Electric Mobility (round A),Temasek and State Bank of India,Electric Vehicles,390,PE Investment,NA,Industrials and Auto,Grant Thornton Dealtracker 2023,2023
NA,Ola Electric Mobility (round B),Temasek and angel investors,Electric Vehicles,140,PE Investment,NA,Industrials and Auto,Grant Thornton Dealtracker 2023,2023
NA,SAS Autosystemtechnik GmbH & Co,Samvardhana Motherson International Ltd,Automotive,578,M&A - Outbound,100%,Industrials and Auto,Grant Thornton Dealtracker 2023,2023
NA,TI Clean Mobility,Multiples Alternate Asset Management and co-investors,Automobiles,146,PE Investment,NA,Industrials and Auto,Grant Thornton Dealtracker 2023,2023
NA,Yachiyo Industry Co,Samvardhana Motherson International Ltd,Auto-components,345,M&A - Outbound,NA,Industrials and Auto,Grant Thornton Dealtracker 2023,2023
NA,Avaada Ventures Pvt Ltd,Brookfield Global Transition Fund,Energy and natural resources,1000,PE Investment,NA,Infrastructure,Grant Thornton Dealtracker 2023,2023
NA,Brookfield's Downtown Powai,GIC and Brookfield India Real Estate Investment Trust,Real Estate,793,PE Investment,50%,Infrastructure,Grant Thornton Dealtracker 2023,2023
NA,Greenko Group,"GIC, Orix Corporation, Abu Dhabi Investment Authority and angel investors",Energy and natural resources,700,PE Investment,NA,Infrastructure,Grant Thornton Dealtracker 2023,2023
NA,Jaypee Infratech Ltd,Suraksha Realty Ltd,Real estate,2453,M&A - Domestic,100%,Infrastructure,Grant Thornton Dealtracker 2023,2023
NA,Realty and land parcel in Mumbai,NA (acquirer name garbled in source table),Real estate,627,M&A - Inbound,100%,Infrastructure,Grant Thornton Dealtracker 2023,2023
NA,Siemens Ltd,Siemens AG,Energy and natural resources,2280,M&A - Inbound,18%,Infrastructure,Grant Thornton Dealtracker 2023,2023
NA,AMRI Hospitals,Manipal Health Enterprises Ltd,Hospitals,280,M&A - Domestic,NA,Lifesciences,Grant Thornton Dealtracker 2023,2023
NA,API Holdings,Undisclosed Investors,Health Tech,420,PE Investment,NA,Lifesciences,Grant Thornton Dealtracker 2023,2023
NA,Aquity Solutions LLC,IKS Health Ltd,Health Tech,200,M&A - Outbound,NA,Lifesciences,Grant Thornton Dealtracker 2023,2023
2022,Biosimilars business of Viatris Inc,Biocon,Medical & Pharma,3000,Acquisition,NA,Lifesciences,Deloitte India M&A Trends 2023,2023
NA,Glenmark Life Sciences,Nirma Ltd,"Pharma, healthcare and biotech",689,M&A - Domestic,75%,Lifesciences,Grant Thornton Dealtracker 2023,2023
NA,Ind-Swift Laboratories,Synthimed Labs Pvt Ltd,Pharma & Biotech,201,M&A - Domestic,NA,Lifesciences,Grant Thornton Dealtracker 2023,2023
NA,Indira IVF Hospital Pvt Ltd,BPEA EQT,"Pharma, healthcare and biotech",657,PE Investment,NA,Lifesciences,Grant Thornton Dealtracker 2023,2023
NA,KIMSHEALTH Management,Quality Care India Ltd,Hospitals,402,M&A - Domestic,NA,Lifesciences,Grant Thornton Dealtracker 2023,2023
NA,Manipal Health Enterprises Pvt Ltd,Temasek Holdings,"Pharma, healthcare and biotech",2000,PE Investment,41%,Lifesciences,Grant Thornton Dealtracker 2023,2023
NA,Quality Care India Limited,Blackstone Group Lp,"Pharma, healthcare and biotech",591,PE Investment,NA,Lifesciences,Grant Thornton Dealtracker 2023,2023
NA,Suven Life Sciences Limited,Advent International,"Pharma, healthcare and biotech",770,PE Investment,50%,Lifesciences,Grant Thornton Dealtracker 2023,2023
2022,BSNL (BBNL stake),Government of India (GoI),TMT / Telecom,4100,Merger / Stake acquisition,NA,Technology,Deloitte India M&A Trends 2023,2023
NA,Grey Orange Robotics Pvt Ltd,"Mithril Capital, 3State Ventures, Blume Ventures",Tech creators/SaaS,135,PE Investment,NA,Technology,Grant Thornton Dealtracker 2023,2023
NA,IBS Software Services Pvt Ltd,Apax Partners,Tech creators/SaaS,450,PE Investment,NA,Technology,Grant Thornton Dealtracker 2023,2023
NA,Leads Connect Services Pvt Ltd,B.L. Agro Industries Ltd,Tech services,60,M&A,NA,Technology,Grant Thornton Dealtracker 2023,2023
NA,Network18 Media & Investments Ltd,TV18 Broadcast Ltd,Media and entertainment,1200,M&A - Domestic (Merger),NA,Technology,Grant Thornton Dealtracker 2023,2023
NA,Perfios Software Solutions Pvt Ltd,Kedaara Capital,Tech creators/SaaS,229,PE Investment,NA,Technology,Grant Thornton Dealtracker 2023,2023
NA,Tata Technologies,TPG,Tech services,197,PE Investment,NA,Technology,Grant Thornton Dealtracker 2023,2023
NA,ValueFirst,Tanla,SaaS,NA,M&A (start-up),NA,Technology,PwC Start-up Perspectives: India start-up deals tracker H1 CY23,2023
NA,Velotio Technologies,R Systems,SaaS,NA,M&A (start-up),NA,Technology,PwC Start-up Perspectives: India start-up deals tracker H1 CY23,2023
NA,Xylem Learning,PhysicsWallah,EdTech,NA,"M&A (domestic, start-up)",NA,Technology,PwC Start-up Perspectives: India start-up deals tracker H1 CY23,2023
NA,Zyber 365 Technologies Pvt Ltd,SRAM & MRAM Group,Tech creators/SaaS,100,M&A,NA,Technology,Grant Thornton Dealtracker 2023,2023
NA,AMG Ammonia (Greenko Group),"Gentari Sdn Bhd (Petronas), GIC",NA,1750,Inbound; Strategic investment,NA,Infrastructure,"PwC Deals at a glance (Annual Review 2023, pub Feb 2024)",2023
NA,AdPushup,Geniee,Others,NA,M&A (start-up),NA,Technology,PwC Start-up Perspectives: India start-up deals tracker H1 CY23,2023
NA,Aster DM Healthcare FZC,"Fajr Capital, Moopen Family and consortium",NA,1700,PE; PE buyout (seller: Aster DM Healthcare Ltd),NA,Lifesciences,"PwC Deals at a glance (Annual Review 2023, pub Feb 2024)",2023
NA,Danske IT And Support Services India Pvt Ltd,Infosys Ltd,IT & ITeS,454,M&A - Outbound,NA,Technology,Grant Thornton Dealtracker 2023,2023
NA,GMR Airports Ltd,GMR Airports Infrastructure Ltd,NA,1760,Domestic; JV buyout (seller: Aeroports de Paris SA),NA,Infrastructure,"PwC Deals at a glance (Annual Review 2023, pub Feb 2024)",2023
NA,HDFC Credila Financial Services Ltd,"BPEA EQT Ltd, ChrysCapital Investment Advisors Pvt Ltd",NA,1110,"PE; PE buyout (sellers: HDFC Ltd, HDFC Bank Ltd)",NA,Financial Services,"PwC Deals at a glance (Annual Review 2023, pub Feb 2024)",2023
NA,Manipal Health Enterprises Pvt Ltd,Temasek Holdings Pte Ltd,NA,1610,"PE; Secondary exit (sellers: NIIF Ltd, TPG Inc)",NA,Lifesciences,"PwC Deals at a glance (Annual Review 2023, pub Feb 2024)",2023
2022,Mindtree,L&T Infotech (LTI),TMT,3100,Merger,NA,Technology,Deloitte India M&A Trends 2023,2023
NA,Nazara Technologies Pvt Ltd,"Anthelion Capital, SBI Multicap Fund, SBI Magnum Global Fund, SBI Technology Opportunities Fund and Angel Investors",Tech start-ups,62,PE Investment,NA,Technology,Grant Thornton Dealtracker 2023,2023
NA,ONGC Petro additions Ltd,Oil and Natural Gas Corporation Ltd,NA,1800,Domestic; JV buyout (seller: Gas Authority of India Ltd),NA,Infrastructure,"PwC Deals at a glance (Annual Review 2023, pub Feb 2024)",2023
NA,PayU Payments Pvt Ltd-global payments business unit,Rapyd Financial Network Ltd,IT & ITeS,610,M&A - Inbound,NA,Technology,Grant Thornton Dealtracker 2023,2023
NA,PhonePe Internet Pvt Ltd,General Atlantic,Fin tech,350,PE Investment,NA,Financial Services,Grant Thornton Dealtracker 2023,2023
NA,Route Mobile Ltd,Proximus Opal SA,IT & ITeS,721,M&A - Inbound,58%,Technology,"Grant Thornton Dealtracker 2023; PwC Deals at a glance (Annual Review 2023, pub Feb 2024)",2023
NA,SREI Infrastructure Finance Ltd,"National Asset Reconstruction Company Ltd, India Debt Resolution Company Ltd",NA,1790,Domestic; Insolvency-driven acquisition,NA,Financial Services,"PwC Deals at a glance (Annual Review 2023, pub Feb 2024)",2023
NA,TV18 Broadcast Ltd,Network18 Media & Investments Ltd,NA,1570,Domestic; Stock merger,NA,Technology,"PwC Deals at a glance (Annual Review 2023, pub Feb 2024)",2023
NA,Xylem Learning,Physics Wallah Pvt Ltd,Tech start-ups,61,M&A,NA,Technology,Grant Thornton Dealtracker 2023,2023
NA,Zinc International assets of Vedanta Ltd,Hindustan Zinc Ltd,NA,1050,Outbound; Asset sale (seller: Vedanta Ltd),NA,Industrials and Auto,"PwC Deals at a glance (Annual Review 2023, pub Feb 2024)",2023
NA,Accelalpha,IBM,Technology Services,NA,M&A,NA,Technology,ey_tech_services_deal_insights_q3_2024,2024
NA,Access Healthcare,New Mountain Capital,Technology Services,NA,Growth Capital,NA,Technology,ey_connecting_dots_tech_services_2024,2024
NA,Accolite Digital,New Mountain Capital,Technology Services,NA,Strategic partnership,NA,Technology,ey_tech_services_deal_insights_q3_2024,2024
NA,Aureus Tech,Happiest Minds,Technology Services,NA,M&A - majority stake,NA,Technology,ey_tech_services_deal_insights_q3_2024,2024
NA,BizAnalytica,Mastek,Technology Services,NA,M&A,NA,Technology,ey_tech_services_deal_insights_q3_2024,2024
NA,BizAnalytics,Happiest Minds,Technology Services,NA,M&A,NA,Technology,ey_connecting_dots_tech_services_2024,2024
NA,BridgeView,Zensar,Technology Services,25,M&A,NA,Technology,ey_tech_services_deal_insights_q3_2024,2024
NA,Camelot,Accenture,Technology Services,NA,M&A,NA,Technology,ey_tech_services_deal_insights_q3_2024,2024
NA,Chartis (Chartis Group),Blackstone,Technology Services,1400,M&A - majority stake,NA,Technology,ey_tech_services_deal_insights_q3_2024,2024
NA,Cigniti,Coforge,Technology Services,460,M&A,NA,Technology,ey_connecting_dots_tech_services_2024,2024
NA,GalaxE Group,Endava,Technology Services,405,M&A,NA,Technology,ey_connecting_dots_tech_services_2024; ey_tech_services_deal_insights_q3_2024,2024
NA,Impetus,Kedaara Capital,Technology Services,NA,Buyout,NA,Technology,ey_connecting_dots_tech_services_2024,2024
NA,Intellera Consulting,Accenture,Technology Services,NA,M&A,NA,Technology,ey_tech_services_deal_insights_q3_2024,2024
NA,Intelligence Node,Interpublic Group,Technology Services,NA,M&A,NA,Technology,ey_connecting_dots_tech_services_2024,2024
NA,Marlabs,BV Investment Partners,Technology Services,NA,M&A - majority stake,NA,Technology,ey_tech_services_deal_insights_q3_2024,2024
NA,Neoris,EPAM,Technology Services,630,M&A,NA,Technology,ey_connecting_dots_tech_services_2024; ey_tech_services_deal_insights_q3_2024,2024
NA,ProvenTech,NTT Data,Technology Services,NA,M&A,NA,Technology,ey_tech_services_deal_insights_q3_2024,2024
NA,Pure Software,Happiest Minds,Technology Services,NA,M&A,NA,Technology,ey_tech_services_deal_insights_q3_2024,2024
NA,PureSoftware,Happiest Minds,Technology Services,NA,M&A,NA,Technology,ey_connecting_dots_tech_services_2024,2024
NA,Seidor,Carlyle,Technology Services,1100,M&A,NA,Technology,ey_tech_services_deal_insights_q3_2024,2024
NA,Star India Pvt Ltd,Reliance Industries Ltd; Viacom18 Media Pvt Ltd (Media Undertaking),Media and entertainment,4530,Domestic; Joint venture (seller: Walt Disney Co),NA,Technology,PwC Deals at a glance: Annual review 2024,2024
NA,Thoughtworks,Apax,Technology Services,1800,Take-private,NA,Technology,ey_tech_services_deal_insights_q3_2024,2024
NA,Verti Systems,MOURI Tech,Technology Services,NA,M&A,NA,Technology,ey_connecting_dots_tech_services_2024,2024
NA,ATC Telecom Infrastructure Pvt Ltd,Data Infrastructure Trust,NA,1980,Domestic; Strategic investment (seller: American Tower Corp),NA,Technology,PwC Deals at a glance: Annual review 2024,2024
NA,BT Group plc,Bharti Enterprises (BhartiTeleventures UK),NA,4060,Outbound; Strategic investment (seller: Altice UK Sarl),NA,Technology,PwC Deals at a glance: Annual review 2024,2024
NA,Bharat Serums & Vaccines Ltd,Mankind Pharma Ltd,NA,1620,Domestic; Strategic acquisition (seller: Advent International LP),NA,Lifesciences,PwC Deals at a glance: Annual review 2024,2024
NA,"Gujarat State Petronet Ltd, Gujarat State Petroleum Corp Ltd",Gujarat Gas Ltd,Oil and gas,5650,Domestic; Merger,NA,Infrastructure,PwC Deals at a glance: Annual review 2024,2024
NA,Hindustan Coca Cola Holdings Pvt Ltd,Jubilant Bhartia Group,NA,1480,Domestic; Strategic acquisition (seller: Coca-Cola Co),NA,Consumer Products and Retail,PwC Deals at a glance: Annual review 2024,2024
NA,Nidar Infrastructure Ltd,Cartica Acquisition Corp,NA,2750,Inbound; Merger,NA,Infrastructure,PwC Deals at a glance: Annual review 2024,2024
NA,Quality Care India Ltd,Aster DM Healthcare Ltd,NA,2130,"Domestic; Merger (sellers: TPG Capital LP, Blackstone Inc)",NA,Lifesciences,PwC Deals at a glance: Annual review 2024,2024
NA,Seven Toll Road projects concession,NHIT Eastern Projects Pvt Ltd,NA,1890,Domestic; Asset acquisition (seller: National Highways Authority of India),NA,Infrastructure,PwC Deals at a glance: Annual review 2024,2024
NA,TS Global Holdings Pte Ltd,Tata Steel Ltd,NA,2100,Outbound; Strategic acquisition,NA,Industrials and Auto,PwC Deals at a glance: Annual review 2024,2024
Jul-2025,AWL Agri Business,Wilmar International - Lence,Food and Beverages,829,M&A - Inbound,20,Consumer Products and Retail,EY India M&A Report 2026,2025
July,AWL Agri Business,Lence Pte - Wilmar International,Consumer Products & Retail,892,Inbound,20,Consumer Products and Retail,ey_india_ma_report_q3_2025,2025
Jul-2025,Damas Jewellery,Titan Co,Fashion,189,M&A - Outbound,67,Consumer Products and Retail,EY India M&A Report 2026,2025
Dec-2025,Haier Appliances India,"Bharti Enterprises, Warburg Pincus",Consumer Durable,817,PE - Growth,49,Consumer Products and Retail,EY India M&A Report 2026,2025
Dec-2025,Haier India,"Bharti Enterprises, Warburg Pincus",Consumer Products,819,Buyout,NA,Consumer Products and Retail,Deloitte Asia Pacific PE 2026 Almanac - India Edition,2025
Mar-2025,Haldiram Snacks Food,"Temasek, International Holding Company & Alpha Wave",Food and Beverages,1536,PE - Growth,16,Consumer Products and Retail,EY India M&A Report 2026,2025
March,Haldiram Snacks Food,Temasek Holdings; Alpha Wave; IHC,Consumer products and retail,1500,Growth Capital,15,Consumer Products and Retail,ey_transactions_newsletter_h1_2025,2025
Jun-2025,Hella Infra Market,Mars Growth Capital,E-Commerce,150,PE - Credit,NA,Consumer Products and Retail,EY India M&A Report 2026,2025
July,Imperial Blue business division,Tilaknagar Industries,Consumer Products & Retail,472,Domestic,100,Consumer Products and Retail,ey_india_ma_report_q3_2025,2025
Jun-2025,Jumbotail Technologies,"SC Ventures, Artal Asia and others",E-Commerce,120,PE - Startup,12,Consumer Products and Retail,EY India M&A Report 2026,2025
Oct-2025,LG Electronics India,NA (IPO - public listing),Consumer Products,1300,IPO,NA,Consumer Products and Retail,Deloitte Asia Pacific PE 2026 Almanac - India Edition,2025
Jan-2025,Meesho,"Tiger Global, Think Investments, Mars Growth Capital, Peak XV Partners and WestBridge Capital",E-Commerce,270,PE - Startup,7,Consumer Products and Retail,EY India M&A Report 2026,2025
Jul-2025,Pernod Ricard - Imperial Blue Business Division,Tilaknagar Industries,Food and Beverages,472,M&A - Domestic,100,Consumer Products and Retail,EY India M&A Report 2026,2025
July,Theobroma Foods,Chryscapital,Consumer Products & Retail,280,Buyout,90,Consumer Products and Retail,Deloitte Asia Pacific PE 2026 Almanac - India Edition; ey_india_ma_report_q3_2025,2025
Jan-2025,Uprising Science,Hindustan Unilever,Consumer Durable,310,M&A - Domestic,91,Consumer Products and Retail,EY India M&A Report 2026,2025
Oct-2025,Zepto,"Nexus, Venture Partners, Lightspeed & others",E-Commerce,450,PE - Growth,6,Consumer Products and Retail,EY India M&A Report 2026,2025
Jul-2025,Aadhar Housing Finance,Blackstone,Financial Services,1400,Others (PE investment),NA,Financial Services,Deloitte Asia Pacific PE 2026 Almanac - India Edition,2025
August,Centrum Capital,Weaver Services,NBFC,65,Domestic,NA,Financial Services,ey_india_ma_report_q3_2025,2025
September,Federal Bank,Blackstone,Bank,705,Growth Capital,10,Financial Services,ey_india_ma_report_q3_2025,2025
Apr-2025,IDFC First Bank,Abu Dhabi Investment Authority & Warburg Pincus,Banks,860,PE - PIPE,15,Financial Services,EY India M&A Report 2026,2025
Apr-2025,IDFC First Bank,"ADIA, Warburg Pincus",Financial Services,873,PIPE,NA,Financial Services,Deloitte Asia Pacific PE 2026 Almanac - India Edition,2025
May,IKF Finance,Teachers Insurance and Annuity Association of America; Norwest Venture Partners; and others,NBFC,171,Growth Capital,NA,Financial Services,ey_transactions_newsletter_h1_2025,2025
July,Infinity Fincorp,Partners Group,NBFC,228,Buyout,75,Financial Services,ey_india_ma_report_q3_2025,2025
Jul-2025,Infinity Fincorp Solutions,"Partners Group, Jungle Ventures",NBFC,230,PE - Buyout,>50,Financial Services,EY India M&A Report 2026,2025
Jun-2025,Infinity Fincorp Solutions,"Venture Catalysts, Partners Group, Jungle Ventures",Financial Services,230,Secondary Buyout,NA,Financial Services,Deloitte Asia Pacific PE 2026 Almanac - India Edition,2025
Mar-2025,Magma General Insurance,Patanjali Ayurved and DS Group,Insurance,507,M&A - Domestic,98,Financial Services,EY India M&A Report 2026,2025
March,Magma General Insurance,Patanjali Ayurved Ltd; Suruchi Foundation; Swati Foundation; SR Foundation; RR Foundation; RITI Foundation,Insurance,507,Domestic,98,Financial Services,ey_transactions_newsletter_h1_2025,2025
Mar-2025,Manappuram Finance,Bain Capital,NBFC,513,PE - PIPE,18,Financial Services,EY India M&A Report 2026; Deloitte Asia Pacific PE 2026 Almanac - India Edition; ey_transactions_newsletter_h1_2025,2025
May-2025,PNB Housing Finance,NA,Financial Services,315,Others (PE exit),NA,Financial Services,Deloitte Asia Pacific PE 2026 Almanac - India Edition,2025
Oct-2025,PhonePe,General Atlantic Service,Fintech,600,PE - Startup,5,Financial Services,EY India M&A Report 2026,2025
June,Profectus Capital,UGRO Capital,NBFC,163,Domestic,NA,Financial Services,ey_transactions_newsletter_h1_2025,2025
Oct-2025,RBL Bank,Emirates NBD,Banks,4387,M&A - Inbound,62,Financial Services,EY India M&A Report 2026,2025
Oct-2025,Sammaan Capital,International Holding Company (Avenir Investment),NBFC,1000,PE - PIPE,43,Financial Services,EY India M&A Report 2026,2025
September,Samman Capital,International Holding Company,NBFC,1000,Growth Capital,43,Financial Services,ey_india_ma_report_q3_2025,2025
Dec-2025,Shriram Finance,Mitsubishi UFJ Financial Group,NBFC,4400,M&A - Inbound,20,Financial Services,EY India M&A Report 2026,2025
Oct-2025,The Federal Bank,Blackstone - Asia II Topco XIII,Banks,704,PE - PIPE,10,Financial Services,EY India M&A Report 2026,2025
August,Vistaar Financial Services,Motilal Oswal Alternatives; ABC World Asia,NBFC,155,Growth Capital,NA,Financial Services,ey_india_ma_report_q3_2025,2025
May-2025,Yes Bank,Sumitomo Mitsui Banking Group,Banks,1590,M&A - Inbound,24,Financial Services,EY India M&A Report 2026; ey_transactions_newsletter_h1_2025,2025
Mar-2025,Aditya Birla Real Estate - Century Pulp and Paper business,ITC,Diversified Industrial Products,409,M&A - Domestic,100,Industrials and Auto,EY India M&A Report 2026,2025
June,Akzo Nobel India,JSW Paints,Cement & Building Products,1098,Domestic,75,Industrials and Auto,ey_transactions_newsletter_h1_2025,2025
Jun-2025,AkzoNobel India,JSW Paints,Cement and Building Products,1098,M&A - Domestic,75,Industrials and Auto,EY India M&A Report 2026,2025
Jan-2025,Dhoot Transmissions,Bain Capital,Automotives,400,PE - Growth,40,Industrials and Auto,EY India M&A Report 2026; ey_transactions_newsletter_h1_2025,2025
Feb-2025,EPL,Indorama Netherlands,Diversified Industrial Products,220,M&A - Inbound,25,Industrials and Auto,EY India M&A Report 2026,2025
Jan-2025,Flash Electronics India,Minda Corp,Automotive,159,M&A - Domestic,49,Industrials and Auto,EY India M&A Report 2026,2025
Feb-2025,Highway Industries,Carlyle,Automotives,400,PE - Buyout,65,Industrials and Auto,EY India M&A Report 2026,2025
Jul-2025,Iveco Group,Tata Motors,Automotives,4450,M&A - Outbound,100,Industrials and Auto,EY India M&A Report 2026; ey_india_ma_report_q3_2025,2025
Feb-2025,Owens Corning (Glass reinforcement business),Praana Group,Diversified Industrial Products,775,M&A - Outbound,100,Industrials and Auto,EY India M&A Report 2026,2025
February,Owens Corning (glass reinforcements business),Praana Group; Triumph Non-Ionics Pvt Ltd; 3B Lux Sarl,Diversified industrial products,755,Outbound,100,Industrials and Auto,ey_transactions_newsletter_h1_2025,2025
Jan-2025,Pravesha Industries,PAG,Diversified Industrial Products,200,PE - Buyout,>50,Industrials and Auto,EY India M&A Report 2026,2025
September,Roppen Transportation Services (Rapido),Prosus Ventures; Westbridge Capital,Logistics & Transportation,271,Growth Capital,12,Industrials and Auto,ey_india_ma_report_q3_2025,2025
Dec-2025,Shriram Pistons,"Grupo Antolin India, Antolin Lighting India, Grupo Antolin Chakankar",Automotives,185,M&A - Domestic,100,Industrials and Auto,EY India M&A Report 2026,2025
March,Siemens Gamesa Renewable Power (Wind business India & Sri Lanka),TPG Capital & MAVCO Investments,Diversified Industrial Products,500,Buyout,90,Industrials and Auto,ey_transactions_newsletter_h1_2025,2025
Dec-2025,Stylam Industries,Aica Kogyo,Diversified Industrial Products,220,M&A - Inbound,53,Industrials and Auto,EY India M&A Report 2026,2025
Dec-2025,Valuedrive Technologies (Spinny),"Accel India, Westbridge Capital",Automotive,160,PE - Startup,9,Industrials and Auto,EY India M&A Report 2026,2025
Aug-2025,Vertelo,"Allianz Global Investors, Australian Ethical Investment, Green Climate Fund, Macquarie",Automotives,405,Others (PE investment),NA,Industrials and Auto,Deloitte Asia Pacific PE 2026 Almanac - India Edition,2025
August,Vertelo,Macquarie Asset Management; Allianz SE; Australian Ethical Investment,Automotive,405,Growth Capital,NA,Industrials and Auto,ey_india_ma_report_q3_2025,2025
Jul-2025,AM Green Power,Greenko Energy Holdings,Power,1462,M&A - Inbound,18,Infrastructure,EY India M&A Report 2026,2025
Dec-2025,Aditya Birla Renewables,Global Infrastructure Partners,Diversified Cleantech,333,PE - Growth,21,Infrastructure,EY India M&A Report 2026,2025
February,Athaang Jammu Udhampur Highway,Cube Highways Trust,Infrastructure,478,Buyout,100,Infrastructure,ey_transactions_newsletter_h1_2025,2025
February,Ayana Renewable Power,ONGC NTPC Green,Infrastructure,2247,Domestic,100,Infrastructure,ey_transactions_newsletter_h1_2025; PwC Deals at a glance: Annual Review 2025,2025
Feb-2025,Ayana Renewables,ONGC NTPC Green,Diversified Cleantech,2246,M&A - Domestic,50,Infrastructure,EY India M&A Report 2026,2025
Nov-2025,Dilip Buildcon - 7 toll road projects,Antham Highways Trust (Alpha Alternative Funds),Roads and Highways,2000,PE - Buyout,100,Infrastructure,EY India M&A Report 2026,2025
January,EGP India,Waaree Energies,Cleantech,92,Domestic,100,Infrastructure,ey_transactions_newsletter_h1_2025,2025
July,Island Star Mall Developers,Pheonix Mills,Real Estate,632,Domestic,100,Infrastructure,ey_india_ma_report_q3_2025,2025
Jan-2025,Jakson Green's 1 GW solar energy portfolio,Blueleaf Energy (a Macquarie Capital company),Diversified Cleantech,400,PE - Buyout,100,Infrastructure,EY India M&A Report 2026,2025
January,Jakson Green's 1 GW solar energy portfolio,Macquarie (Blueleaf Energy),Cleantech,400,Buyout,NA,Infrastructure,ey_transactions_newsletter_h1_2025,2025
Feb-2025,KSK Mahanadi Power,JSW Energy,Thermal Power,1838,M&A - Domestic,100,Infrastructure,EY India M&A Report 2026,2025
Dec-2025,Macquarie Corporate Holdings - Vibrant energy,Inox Clean Energy (INOXGFL),Power,550,M&A - Domestic,100,Infrastructure,EY India M&A Report 2026,2025
Jun-2025,NIIF - 2 road assets in Kashmir,Cube Highways Trust,Roads and Highways,461,PE - Buyout,100,Infrastructure,EY India M&A Report 2026,2025
Mar-2025,National Highways Infra Trust,CPPIB,InvIT,243,PE - PIPE,NA,Infrastructure,EY India M&A Report 2026,2025
Apr-2025,Nexgen Energia,Capital Edge,Diversified Cleantech,1000,PE - Growth,NA,Infrastructure,EY India M&A Report 2026,2025
August,Pune - Satara Toll road,Cube Highways & Infrastructure,Infrastructure,230,Inbound,100,Infrastructure,ey_india_ma_report_q3_2025,2025
Nov-2025,ReNew Energy Global,ADB - Leap 2,Diversified Cleantech,331,PE - Growth,NA,Infrastructure,EY India M&A Report 2026,2025
May,Renew Photovoltaics,British International Investment,Cleantech,102,Growth Capital,10,Infrastructure,ey_transactions_newsletter_h1_2025,2025
Mar-2025,Siemens Gamesa - Wind Business in India & Sri Lanka,"TPG - Rise Climate Fund, Mavco Investments, Others",Diversified Cleantech,819,PE - Buyout,100,Infrastructure,EY India M&A Report 2026,2025
Jan-2025,Statkraft (Renewable projects),"Serentica Renewables, JSW Energy & LNJ Bhilwara",Diversified Cleantech,671,M&A - Domestic,100,Infrastructure,EY India M&A Report 2026,2025
September,Statkraft Solar Power Business,Serentica Renewables,Power,250,Domestic,100,Infrastructure,ey_india_ma_report_q3_2025,2025
Jul-2025,Adcock Ingram Holdings,Natco Pharma,Pharmaceuticals,224,M&A - Outbound,36,Lifesciences,EY India M&A Report 2026; ey_india_ma_report_q3_2025,2025
Feb-2024,Alexis,Max,Healthcare / Hospitals (standalone hospital acquisition - West/Central),NA,Acquisition,NA,Lifesciences,KPMG Multi-speciality hospitals in India: Evolution of hospital deals post COVID,2025
Mar-2025,Amplitude Surgical,Zydus Lifesciences,Pharmaceuticals,416,M&A - Outbound,100,Lifesciences,EY India M&A Report 2026; ey_transactions_newsletter_h1_2025,2025
Sep-2025,Apex Hospitals,InvAscent,Healthcare / Hospitals,"NA (INR2,300 Mn stated; no USD given)",PE Investment,NA,Lifesciences,KPMG Multi-speciality hospitals in India: Evolution of hospital deals post COVID,2025
Apr-2024,Artemis,IFC,Healthcare / Hospitals,"NA (INR3,290 Mn stated; no USD given)",PE Investment,NA,Lifesciences,KPMG Multi-speciality hospitals in India: Evolution of hospital deals post COVID,2025
Feb-2024,Asian Fidelis,Yatharth,Healthcare / Hospitals (standalone hospital acquisition - North),NA,Acquisition,NA,Lifesciences,KPMG Multi-speciality hospitals in India: Evolution of hospital deals post COVID,2025
NA (2016-2020 cohort),Aster DM,NA (IPO - public listing),Healthcare / Hospitals,"NA (issue size INR9,801 Mn stated; no USD given)",IPO,NA,Lifesciences,KPMG Multi-speciality hospitals in India: Evolution of hospital deals post COVID,2025
Jul-2024,BMH,KKR,Healthcare / Hospitals,"NA (INR35,710 Mn stated; no USD given)",PE Investment,NA,Lifesciences,KPMG Multi-speciality hospitals in India: Evolution of hospital deals post COVID,2025
Jul-2022,CIIGMA,Care,Healthcare / Hospitals (standalone hospital acquisition - West/Central),NA,Acquisition,NA,Lifesciences,KPMG Multi-speciality hospitals in India: Evolution of hospital deals post COVID,2025
Oct-2021,CIMS,Marengo Asia,Healthcare / Hospitals (standalone hospital acquisition - West/Central),NA,Acquisition,NA,Lifesciences,KPMG Multi-speciality hospitals in India: Evolution of hospital deals post COVID,2025
Sep-2023,Care Hospitals,Blackstone,Healthcare / Hospitals,"NA (INR83,220 Mn stated; no USD given)",PE Investment,NA,Lifesciences,KPMG Multi-speciality hospitals in India: Evolution of hospital deals post COVID,2025
Mar-2025,Checkpoint Therapeutics,Sun Pharmaceutical,Pharmaceuticals,367,M&A - Outbound,100,Lifesciences,EY India M&A Report 2026,2025
